PatentNumber,CitedByOthers,CitesOthers,TotalDegree,GlobalEfficiency,SubgraphEfficiency,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,ComponentSize,Connectivity
US10047398-B2,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US8168783-B2,0,1,1,0.03902327472503229,1.0,0.0,0,0.0,2,0.0057
US9399770-B2,0,3,3,0.03902327472503229,0.8333333333333334,0.0,0,0.0,6,0.0172
US8961960-B2,1,3,4,0.03902327472503229,0.8333333333333334,0.0,0,0.5,6,0.0172
US9528103-B2,0,4,4,0.03902327472503229,0.8333333333333334,0.0,0,0.5,6,0.0172
WO2011139986-A3,3,0,3,0.03902327472503229,0.8333333333333334,0.0,0,0.3333333333333333,6,0.0172
WO2011139799-A3,3,0,3,0.03902327472503229,0.8333333333333334,0.0,0,0.3333333333333333,6,0.0172
WO2011139854-A3,3,0,3,0.03902327472503229,0.8333333333333334,0.0,0,0.3333333333333333,6,0.0172
US9845489-B2,0,1,1,0.03902327472503229,1.0,0.0,0,0.0,2,0.0057
US9376709-B2,1,0,1,0.03902327472503229,1.0,0.0,0,0.0,2,0.0057
US10624955-B2,1,0,1,0.03902327472503229,0.8,0.0,0,0.0,5,0.0143
US10624956-B2,1,1,2,0.03902327472503229,0.8,0.0,0,1.0,5,0.0143
US10624957-B2,1,1,2,0.03902327472503229,0.8,0.0,0,1.0,5,0.0143
US10786555-B2,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US10786556-B2,0,4,4,0.03902327472503229,0.8,0.0,0,0.3333333333333333,5,0.0143
US6653106-B1,1,0,1,0.03902327472503229,1.0,0.0,0,0.0,2,0.0057
US7662556-B2,0,1,1,0.03902327472503229,1.0,0.0,0,0.0,2,0.0057
US10487149-B2,0,2,2,0.03902327472503229,0.7666666666666667,0.0,0,0.0,6,0.0172
US10550188-B2,0,2,2,0.03902327472503229,0.7666666666666667,0.0,0,0.0,6,0.0172
